Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Build Up Area,Posted Date,Price,District,Location,Road Distance,Type of Road
4,3,2.0,0,East,,1411.78,N/A Aana,4 years ago,10000000,Dhading,Dhading,7,Gravelled
9,10,3.0,3,North,2074.0,1369.0,0-2-3-0 Aana,4 years ago,2000000025,Pokhara,Lekhnath,20,Gravelled
4,4,2.0,4,East,2019.0,1369.0,0-4-0-0 / 322 Aana,4 years ago,20000000,Makwanpur,Hetauda,14,Paved
0,0,,0,West,,2566.87,N/A Aana,4 years ago,9500000,Pokhara,Pokhara,15,Gravelled
7,5,3.0,3,South East,2074.0,22246.25,6.5 Aana,4 years ago,37000000,Pokhara,Ranipauwa,20,Gravelled
7,3,3.0,0,East,,1026.75,2200 Aana,4 years ago,9000000,Kavre,Panauti,24,
0,0,2.0,0,North,,1711.25,N/A Aana,4 years ago,9500000,Dhading,Dhading,15,Soil Stabilized
0,0,2.0,0,South East,,15401.25,N/A Aana,4 years ago,27000000,Pokhara,Pokhara,20,
0,0,4.0,0,North West,,2395.75,N/A Aana,4 years ago,35000000,Pokhara,Fulbari,15,
0,0,,0,South East,,1711.25,N/A Aana,4 years ago,25000000,Pokhara,Ram Bazar,20,Gravelled
0,0,3.0,0,North East,,1369.0,N/A Aana,4 years ago,30000000,Pokhara,Ram Bazar,20,
